TYPE,SUBLOCALITY,PRICE,PROPERTYSQFT,BEDS,BATH
Condo for sale,New York,899500,951.0,2,2.0
Co-op for sale,Queens,259000,590.0,3,1.0
Co-op for sale,Queens,430000,900.0,2,2.0
Co-op for sale,New York,895000,1700.0,3,1.0
Co-op for sale,Queens,325000,713.0,1,1.0
Co-op for sale,Queens,230000,750.0,1,1.0
Co-op for sale,Queens,275000,694.0,1,1.0
Co-op for sale,The Bronx,199900,925.0,1,1.0
Co-op for sale,Queens,369000,950.0,2,1.0
Multi-family home for sale,Queens,825000,1549.0,2,2.0
Multi-family home for sale,Queens,769000,1549.0,2,2.0
Co-op for sale,New York,849000,1100.0,1,1.0
Co-op for sale,Queens,198000,600.0,1,1.0
Land for sale,Queens,1685000,950.0,3,2.0
Land for sale,Kings County,2550000,3248.0,3,2.0
Land for sale,Bronx,119000,719.0,3,1.0
Foreclosure,Queens,269000,2000.0,5,2.0
Multi-family home for sale,Queens,250000,713.0,5,2.0
House for sale,Kings County,8750000,6000.0,6,6.0
Multi-family home for sale,Bronx,600000,1025.0,2,2.0
House for sale,Bronx,245000,1158.0,3,1.0
Coming Soon,Kings County,649000,1619.0,4,3.0
Pending,Kings County,739000,2444.0,6,4.0
Pending,New York,299999,246.0,3,1.0
Multi-family home for sale,Queens,346000,960.0,5,2.0
Multi-family home for sale,Queens,346000,960.0,5,2.0
House for sale,Queens,265000,1224.0,3,1.0
Townhouse for sale,New York,24800000,7110.0,6,8.0
Multi-family home for sale,Queens,309000,960.0,6,2.0
House for sale,Kings County,275000,2000.0,4,1.0
House for sale,Bronx,1249000,2400.0,3,4.0
House for sale,Queens,1099000,1820.0,4,2.0
House for sale,Queens,839000,1680.0,4,2.0
House for sale,Queens,659000,2300.0,8,3.0
House for sale,Queens,659000,2300.0,8,3.0
House for sale,Queens,399999,1601.0,3,1.0
Condo for sale,Brooklyn,250000,485.0,3,1.0
Townhouse for sale,New York,2750000,2201.0,3,2.0
House for sale,Queens,995000,1260.0,3,2.0
Townhouse for sale,Kings County,15000000,6000.0,8,6.0
Co-op for sale,New York,550000,700.0,1,1.0
Pending,Richmond County,769000,1170.0,3,4.0
House for sale,Queens,918888,1070.0,3,2.0
Multi-family home for sale,Bronx,425000,1700.0,5,2.0
Multi-family home for sale,Queens,949000,1872.0,6,3.0
Townhouse for sale,New York,1250000,3276.0,8,4.0
House for sale,Queens,1449999,2046.0,3,2.0
Townhouse for sale,New York,14900000,6000.0,5,5.0
Co-op for sale,Brooklyn,1895000,2100.0,2,2.0
Co-op for sale,New York,2375000,1000.0,1,2.0
Condo for sale,New York,2250000,1100.0,1,1.0
Co-op for sale,The Bronx,269000,900.0,1,1.0
Co-op for sale,New York,695000,1800.0,2,2.0
House for sale,Bronx,1300000,4450.0,3,2.0
Co-op for sale,New York,1525000,1600.0,2,2.0
Co-op for sale,New York,695000,1800.0,2,2.0
House for sale,Bronx,1300000,4450.0,3,2.0
Co-op for sale,The Bronx,269000,900.0,1,1.0
Co-op for sale,Queens,358000,950.0,2,1.0
Co-op for sale,New York,975000,1300.0,3,1.0
Co-op for sale,Queens,399000,650.0,1,1.0
Co-op for sale,Queens,1088000,1800.0,5,2.0
Multi-family home for sale,Queens,1188888,4920.0,15,9.0
Co-op for sale,Queens,349000,950.0,2,1.0
House for sale,Kings County,615000,1340.0,3,2.0
Co-op for sale,Queens,299000,700.0,1,1.0
Co-op for sale,New York,425000,450.0,3,1.0
Co-op for sale,Queens,198000,550.0,3,1.0
Co-op for sale,New York,1495000,1100.0,1,2.0
Co-op for sale,Queens,199900,1453.0,2,1.0
House for sale,Kings County,1575000,2572.0,3,2.0
Co-op for sale,Queens,229000,900.0,1,1.0
For sale,Kings County,2700000,3120.0,8,4.0
House for sale,Kings County,550000,1080.0,3,2.0
Multi-family home for sale,Queens,1388000,2283.0,4,3.0
Multi-family home for sale,Kings County,3000000,3600.0,10,10.0
Multi-family home for sale,Queens,2198888,2740.0,7,6.0
For sale,New York,6500000,3000.0,2,2.0
Co-op for sale,Queens,199000,600.0,1,1.0
For sale,New York,815000,585.0,3,1.0
For sale,Kings County,989000,2000.0,7,3.0
Multi-family home for sale,Kings County,900500,1892.0,4,2.0
Co-op for sale,New York,1465000,1650.0,3,3.0
Multi-family home for sale,Queens,1199000,5712.0,6,5.0
For sale,New York,325000,750.0,2,1.0
Multi-family home for sale,Queens,1230000,1848.0,4,3.0
Co-op for sale,New York,3950000,2300.0,3,3.0
Co-op for sale,Brooklyn,370000,680.0,1,1.0
For sale,New York,3225,230.0,3,1.0
Co-op for sale,New York,3649000,2237.0,3,2.0
For sale,New York,2494,600.0,2,1.0
Condo for sale,Brooklyn,99000,850.0,1,1.0
For sale,New York,1100000,980.0,2,2.0
Multi-family home for sale,Kings County,1500000,3090.0,3,2.0
Co-op for sale,New York,1200000,1750.0,3,2.0
Co-op for sale,New York,1300000,1200.0,2,2.0
Co-op for sale,New York,1799995,1150.0,2,2.0
House for sale,Queens,879000,1630.0,4,2.0
Multi-family home for sale,Queens,869888,1480.0,4,3.0
House for sale,Queens,799888,1344.0,3,2.0
House for sale,Queens,499000,900.0,2,3.0
Multi-family home for sale,Bronx,699999,3053.0,6,2.0
Land for sale,Brooklyn,5800,800.0,3,1.0
House for sale,Kings County,600000,4004.0,5,2.0
Multi-family home for sale,Queens,950000,4875.0,12,6.0
Multi-family home for sale,Queens,1088888,3100.0,4,2.0
Land for sale,Kings County,650000,1360.0,3,2.0
Multi-family home for sale,Kings County,995000,1660.0,5,2.0
Multi-family home for sale,Kings County,995000,1660.0,5,2.0
Co-op for sale,New York,1649000,1150.0,2,2.0
Co-op for sale,Queens,365000,950.0,2,1.0
House for sale,Queens,635000,2000.0,3,2.0
Land for sale,Richmond County,3950000,12200.0,3,8.0
House for sale,Queens,2650000,4443.0,6,6.0
House for sale,Queens,420000,1601.0,3,1.0
Land for sale,Kings County,2999950,11760.0,3,4.0
House for sale,Queens,549000,1221.0,3,1.0
Land for sale,Bronx,289000,1400.0,3,1.0
Land for sale,Queens,790000,1900.0,3,2.0
Land for sale,Kings County,6100000,3000.0,3,4.0
Land for sale,Kings County,350000,1520.0,3,1.0
Land for sale,Bronx,450000,1700.0,3,2.0
Land for sale,Queens,2999999,1952.0,3,2.0
Land for sale,Kings County,2500000,3248.0,3,2.0
Land for sale,Kings County,350000,1520.0,3,1.0
Land for sale,Richmond County,150000,301.0,3,1.0
Land for sale,Kings County,3600000,3040.0,3,4.0
Land for sale,Richmond County,150000,301.0,3,1.0
Land for sale,New York,199000,301.0,3,1.0
Land for sale,Bronx,2000000,3500.0,3,2.0
Land for sale,Queens,2200000,950.0,3,2.0
Land for sale,Queens,650000,1606.0,3,2.0
Land for sale,Richmond County,149000,301.0,3,1.0
Land for sale,Kings County,799999,3510.0,3,2.0
House for sale,Queens,299000,2000.0,5,2.0
Land for sale,Kings County,265000,301.0,3,1.0
Land for sale,Bronx,795000,1171.0,3,2.0
Land for sale,Bronx,1245000,1550.0,3,2.0
Land for sale,Kings County,549000,1424.0,3,2.0
Land for sale,Kings County,299000,640.0,3,1.0
Pending,Kings County,675000,1444.0,3,2.0
House for sale,Queens,759999,1648.0,4,2.0
Co-op for sale,Queens,295000,1100.0,3,1.0
Multi-family home for sale,Queens,950000,1872.0,6,2.0
Townhouse for sale,Queens,11000000,7723.0,5,6.0
Land for sale,Richmond County,348000,301.0,3,1.0
Pending,New York,13500000,4230.0,5,7.0
Multi-family home for sale,Kings County,825000,4125.0,12,6.0
Co-op for sale,Queens,259500,950.0,2,1.0
Multi-family home for sale,Queens,1150000,2905.0,5,3.0
Land for sale,Bronx,1395000,2627.0,3,2.0
House for sale,Queens,1675000,2364.0,4,5.0
Co-op for sale,New York,449500,725.0,1,1.0
House for sale,Queens,625000,1280.0,3,2.0
Co-op for sale,New York,275000,550.0,3,1.0
Multi-family home for sale,Queens,849000,2200.0,6,5.0
Co-op for sale,Queens,235000,1400.0,3,1.0
House for sale,Queens,399999,1089.0,2,1.0
Condo for sale,Brooklyn,485000,701.0,3,2.0
Co-op for sale,Brooklyn,565000,769.0,1,1.0
Multi-family home for sale,Kings County,849000,2217.0,4,3.0
Co-op for sale,Queens,199000,1453.0,2,1.0
House for sale,Queens,899000,1200.0,4,2.0
Multi-family home for sale,Kings County,1250000,1800.0,7,4.0
Multi-family home for sale,Kings County,1488000,3144.0,6,2.0
Land for sale,Queens,285000,1180.0,3,1.0
Multi-family home for sale,Queens,699000,1300.0,3,3.0
Pending,Queens,309000,381.0,3,2.0
House for sale,Queens,999000,1305.0,4,2.0
Co-op for sale,Queens,278500,810.0,2,1.0
Co-op for sale,New York,738000,830.0,3,2.0
